,Line,Net_Profit,Net_Profit
,,sum,mean
4066,Sceptor 4XS,1198814.839999707,10.642792943952086
1061,Crosswind 4X4 HP,553920.8199999887,20.80453784037516
3813,Radar Dimax AS-8,546506.9099999878,23.0895648316358
1065,Crosswind All Season UHP,411720.4799999891,14.959686069325961
4456,Thunderer Trac Grip M/T R408,401515.5399999996,28.178506561863962
301,Atturo Trail Blade A/T,390014.23000000545,36.65202800488727
1532,Falken Wildpeak AT3W,388751.78000000794,35.23536481464769
523,Bridgestone Blizzak WS80,350989.8900000038,35.4284738063999
34,Achilles Desert Hawk UHP,340694.62000000355,19.781374905649628
26,Achilles ATR Sport 2,327881.15000000695,14.245792057699294
4644,Trailer King ST Radial II,325676.72000000696,7.899789453257822
1081,Crosswind HP010,291058.36000001244,11.413605740951823
4131,Solar 4XS,278164.43000000156,11.07959969728358
2850,Lexani LX-Twenty,259230.4800000011,15.25692896239192
4132,Solar 4XS Plus,258920.51999999434,7.834206354008906
2279,Hankook Dynapro ATM (RF10),245371.5199999995,45.11335171906591
25,Achilles ATR Sport,240512.21000000602,11.25413925412971
35,Achilles Desert Hawk X-MT,238143.35999999483,37.848595041321495
2166,Goodyear Wrangler SR-A,229614.1299999985,30.22033824690688
4569,Toyo Open Country A/T II,222073.56000000212,72.45466884176253
322,BFGoodrich All-Terrain T/A KO2,209948.2599999997,58.2865796779566
1571,Federal Couragia M/T,209665.0900000025,35.94464083661966
4898,Westlake SA07,209408.79999999946,11.618331114070099
925,Cooper CS5 Ultra Touring,208369.530000001,39.99415163147812
4312,SuperMax TM-1,201456.6299999957,11.646911603167931
1083,Crosswind M/T,198534.41999999905,39.556569037656715
2160,Goodyear Wrangler DuraTrac,198525.84999999875,79.92183977455666
4239,Sumitomo Ice Edge,195820.5199999943,29.044870958171806
3472,Nitto Ridge Grappler,184087.71000000098,96.33056514913709
4901,Westlake SL369,180257.71000000162,24.876857576594208
2281,Hankook Dynapro HP2 (RA33),177777.35999999908,67.44209408194199
3977,Sailun S637 (Trailer),168290.68999999846,55.24973407747815
2282,Hankook Dynapro HT (RH12),167565.21999999884,58.75358345020997
946,Cooper Evolution Tour,165296.25999999975,22.56604232081908
304,Atturo Trail Blade X/T,162728.8199999998,58.619891930835664
3474,Nitto Terra Grappler G2,158562.0000000002,64.14320388349523
538,Bridgestone Dueler H/L Alenza,152304.4800000002,58.873011209895715
3403,Nexen N Priz AH8,149688.49000000046,81.48529667936879
4227,Sumitomo HTR A/S P02,147534.13000000047,24.48699253112041
4598,Toyo Proxes R888R,141408.0600000003,99.23372631578968
3223,Milestar MS932 Sport,139161.08000000325,10.354247023809766
1879,General Altimax RT43,137535.8000000003,44.7999348534203
5055,Zenna Argus-UHP,136186.0299999992,23.004396959459328
3433,Nexen Roadian HTX RH5,134810.35000000047,56.38241321622772
2769,Kumho Road Venture AT51,134428.3200000011,45.47642760487182
1622,Firestone Destination LE2,132457.25999999995,39.5158890214797
931,Cooper Discoverer AT3 XLT,131055.29999999993,97.72953020134223
1954,Gladiator X-COMP M/T,130661.33,99.58942835365853
3389,Nexen Aria AH7,130559.73000000011,57.288165862220325
2779,Kumho Solus TA11,129670.1099999992,23.43576902223011
